Content,Video title,Video publish time,Duration,Thumbnail impressions,Thumbnail click-through rate (%)
rOzRuAi_KXk,¿Qué habilidades están pidiendo más las empresas a los devs en 2026? | Conseguir Chamba Dev,"Sep 5, 2026",76,145,0
paGXjVjK_tM,Aprender Swift: ¿ruta gratis o comprar un curso?,"Aug 5, 2026",76,145,2.07
0nTBGcq6q6c,¿Cual es tu top 4 de AI's para programar? Los leo,"Aug 25, 2026",99,143,4.2
G2OX3Y05mAc,No puedo dejar de usar Mi Macbook,"Jun 8, 2026",597,140,1.43
itE5Qf0EH3E,Cuando usar flutter web? #flutterapp #flutterenespanol #flutterdeveloper,"Aug 28, 2023",28,139,6.47
bqR9qsaw5NU,Por qué Python DOMINA la Inteligencia Artificial (No es por lo que crees),"Nov 13, 2025",31,137,3.65
mVLENzaRKxM,Así automatice mi WhatsApp,"Aug 25, 2026",68,136,1.47
k14tU01E1LU,¿Cómo correr un proyecto viejo de flutter en Xcode 15?,"Oct 23, 2023",55,133,1.5
ruVA5YhY3lo,¿Qué es mejor Visual Code o Android Studio para Programar en Flutter?,"Jun 8, 2021",610,130,9.23
aLgctgD8_wk,Aveces claude code hace que me arrepienta ,"May 25, 2026",866,126,3.17
hjHdHMjlkVU,"Cómo crear un chatbot en WhatsApp con LLM, Node.js y Firebase 🤖 | Proyecto paso a paso","Sep 22, 2025",616,125,15.2
0-rdKAgqIJ0,"Resolví un bug corriendo, no en la computadora","Aug 17, 2026",93,117,1.71
jOOBKNJp34o,¿Qué elegir Firebase o Supabase para Flutter?,"Jul 22, 2024",765,114,2.63
Qj3KM8IiWfg,Flutter en Español ¿Cómo Hacer un Login? Parte 1,"Feb 17, 2021",1686,113,5.31
4JbKJVM37yo,Cómo saber si una vacante de programador vale la pena (y cuándo huir) | Conseguir Chamba Dev,"Sep 3, 2026",55,109,0
Zx9RMJHz7iE,Vale la pena la MacBook neo para flutter? #macbookneo,"Mar 25, 2026",122,108,4.63
2JRp0zMX2Kc,Probe open spec en un side project,"Sep 7, 2026",77,107,1.87
EYLCXE9Q9ps,001 - Necesitas Construir,"Aug 21, 2025",397,103,3.88
1A3JxyPrbkM,No me gusta ir presencial al trabajo ,"Jul 13, 2026",443,102,8.82
LIbZrIbB6Ls,Como aprender Flutter en español,"Sep 14, 2022",32,101,0.99
w1GQjAVNfjo,Que es Flutter? pregunta no.1,"Sep 20, 2023",28,100,6
fT0I64QMrPU,003- Cómo ganar dinero con Flutter en 2025,"Sep 8, 2025",943,98,4.08
jbJB-Zp8uNc,Que dispositivos usar para emular tus aplicaciones,"Sep 7, 2023",42,96,4.17
GI36nsjvwss,¿Cómo Implementar Google Maps en Flutter en Español?,"Aug 24, 2021",701,92,10.87
xmFvnFtoZGg,Gemini salvó mi código en Python!,"May 6, 2026",59,92,3.26
YL_nAp4X-fY,Que significa GM?,"Apr 3, 2023",32,91,16.48
tSbakzRr6C0,@midudev Talent Land 2025 y sus consejos para aprender IA,"Apr 28, 2025",86,91,0
ITIWGl6eGBE,¿Cómo se implementan animaciones en Flutter?  #flutterdeveloper #flutterapp #flutterenespanol,"Oct 17, 2023",22,90,2.22
feNKZt4d4WM,Que MacBook comprar para programar? #flutterapp #macbook #macbookpro,"Sep 24, 2024",54,90,1.11
QDw3zLi6knE,Curso de Flutter en español ¿Como hacer un login?,"May 31, 2023",579,88,10.23
QxMrE2jQNKg,Si sabes?,"Sep 1, 2026",65,87,0
0HaGTQ_2kCg,Flutter en Español ¿Cómo Hacer un Login? Parte 2,"Mar 3, 2021",1101,86,1.16
Gsm29EUJG7U,Como Aprendí Flutter Tan Rapido || Eliecer Coding,"Jul 7, 2020",521,85,5.88
soc0P9cvp9o,5 Ideas de Side Projects para Pagar la Renta 💻💸,"May 19, 2026",822,84,4.76
RhO1-yrS3nA,Como aprender solidity? Como aprender hacer smart contracts?,"Feb 22, 2023",44,84,1.19
7Yln-4QhMws,Tu Modelo de IA en Python NO SIRVE de NADA (sin esto) 🤯,"Nov 12, 2025",32,84,0
KJGsC5oVvLE,Cómo avisar que vas retrasado sin sonar a excusa | Sobrevivir la Chamba Gringa #4,"Aug 15, 2026",72,83,3.61
b0nKTVREHto,La garantía de Xiaomi tarda mucho,"Jul 9, 2026",93,82,8.54
EzCOdaWXKuo,@mouredev  en Talent Land 2025 opinando de flutter,"Apr 25, 2025",34,81,4.94
g5EipYCyLmk,Google lanza Gemini como su propia aplicación para Mac 🤖 Tienes IA directamente en tu escritorio,"Apr 17, 2026",63,80,1.25
VO548rxz51k,Como preparar un pajarete,"Jul 21, 2023",37,79,3.8
_qbCnpzZ7qk,Flutter Unit testing en Español para principiantes,"Mar 18, 2024",583,78,11.54
rZuFUXQpk8Q,Cómo usar Claude Code (como un arquitecto de Software)  #claudecode,"Apr 11, 2026",127,76,0
i00przHHFyk,"Charros de Jalisco, nuevos uniformes","Oct 14, 2025",7,75,2.67
p-Lk1866V8w,¿Qué son los widgets en Flutter?  #flutterdeveloper #flutterenespanol #flutterapp #developer no.4,"Sep 25, 2023",25,74,0
chz4pLW5yBI,¿Cómo encontrar trabajo remoto de programador? Pasen tips,"Feb 24, 2025",15,74,1.35
WeGUUmsH8ww,¿Cómo usar material 3 en Flutter en español? #programmer #flutter,"Jan 26, 2023",6,71,0
MXxcSQlYn4g,¿En qué plataformas consigue chamba de programador? Las que sí me funcionaron Conseguir Chamba Dev,"Aug 24, 2026",64,70,4.29
iV_eJlCiNd8,Teams ringtone gives me nightmares...,"Sep 26, 2025",6,69,7.25
OU1VjztonJc,¿Cómo se crea un widget personalizado en Flutter?  #flutter #flutterenespanol #flutterapp no.6,"Sep 27, 2023",28,69,2.9
vSondCqadU4,Aplico a vacantes de programador y nadie me responde: qué cambiar | Conseguir Chamba Dev #3,"Aug 25, 2026",63,69,2.9
spwE6ZTDmag,¿Aplicar directo a la empresa o escribirle al recruiter en LinkedIn? | Conseguir Chamba Dev,"Sep 1, 2026",72,68,4.41
TwG7LMqUcWk,"El que no mira el reloj al programar, no mira la factura de Claude al pagar","Sep 8, 2026",15,40,20
Iari8eB8EfQ,Automaticé todo el RSVP de mi boda con IA (y no sé cómo venderlo),"Sep 8, 2026",137,33,6.06
4b4nbk7HaKo,Programar y entrenar para un medio maratón al mismo tiempo,"Sep 9, 2026",105,26,7.69
