"Start Time","End Time","Text","Layer ID"
"00:02:53:02","00:02:56:09","y una persona que fuera diarioa la oficina diario","1"
"00:02:56:22","00:02:58:23","y se gaste 100Â $en un desayuno de forma","1"
"00:02:58:23","00:03:00:24","en promedio,que a lo mejor no va a traer","1"
"00:03:00:24","00:03:03:21","muchos temas nutricionalesde forma muy adecuada.","1"
"00:03:03:21","00:03:04:19","Estoy hablando de chingar","1"
"00:03:04:19","00:03:07:01","de tres tacos y un chesco,por poner un ejemplo.","1"
"00:03:07:01","00:03:08:03","Y el mediodÃ­a","1"
"00:03:08:03","00:03:10:11","te compraste una ensaladapara tratar de balancear","1"
"00:03:10:11","00:03:12:06","lo que estÃ¡sde lo que estamos hablando","1"
"00:03:12:06","00:03:13:09","y una ensalada promedio.","1"
"00:03:13:09","00:03:16:16","Te voy a leer 130Â MXN, asÃ­que estamos hablando","1"
"00:03:16:16","00:03:20:04","que te estÃ¡s chingando230Â MXN diarios en comida.","1"
"00:03:20:18","00:03:25:12","Si lo multiplicas por cinco sonmÃ¡s de 1.150Â $ aproximadamente.","1"
"00:03:25:28","00:03:29:11","O sea que estÃ¡s gastando al mescasi 4000","1"
"00:03:29:11","00:03:33:25","a 5 1.000Â $ en pura comidaen la calle y podrÃ­amos empezar.","1"
"00:03:33:26","00:03:35:09","La realidad es que tambiÃ©n,por ejemplo,","1"
"00:03:35:09","00:03:38:09","ahorita que tuve la oportunidadde tener un poco","1"
"00:03:38:12","00:03:41:14","de mejora salarial,decidÃ­ tambiÃ©n, por ejemplo","1"
"00:03:41:16","00:03:44:17","para la maestrÃ­a,que inscribirme a una,","1"
"00:03:44:18","00:03:47:13","porque creo que eso es algoque al final yo querÃ­a hacer","1"
"00:03:47:13","00:03:49:18","y a lo mejor no sÃ©si va a ser retribuirle","1"
"00:03:49:18","00:03:53:21","o no a largo plazo,pero de momento me ha servido.","1"
"00:03:53:23","00:03:55:21","Me volviÃ³ a servirpara regresar a la escuela,","1"
"00:03:55:21","00:03:59:18","para volver a aprendery para hacer mÃ¡s cosas como tal.","1"
"00:03:59:25","00:04:01:23","Lo que sÃ­, tambiÃ©nme he dado cuenta de","1"
"00:04:01:23","00:04:04:21","que a veces entre mÃ¡s ganamos,mÃ¡s marcas de lujo,","1"
"00:04:04:21","00:04:08:07","mÃ¡s ropa cara queremos traery a veces simplemente es para","1"
"00:04:08:20","00:04:13:16","para el dÃ­a a dÃ­aque no representa nada.","1"
"00:04:13:24","00:04:16:28","Y a veces como que tambiÃ©nel hecho de la tÃ­pica frase","1"
"00:04:17:16","00:04:20:29","de que un trabajo","1"
"00:04:21:06","00:04:24:11","me lo merezco y lo pago y ya.","1"
"00:04:24:20","00:04:28:09","Pero realmente es un capricho,es una necesidad","1"
"00:04:28:17","00:04:31:11","y creo que a veces vienen mÃ¡sel tema de los.","1"
"00:04:31:11","00:04:34:10","Caprichosque realmente necesidades","1"
"00:04:34:10","00:04:35:11","y es cuando debes hablar.","1"
"00:04:35:11","00:04:37:14","A ver, es un lujo,es una necesidad.","1"
"00:04:37:14","00:04:39:20","Si es un lujoestÃ¡ bien, no tiene malo,","1"
"00:04:39:20","00:04:41:29","pero tambiÃ©n cuÃ¡ntos lujoste estÃ¡s dando cabrÃ³n.","1"
"00:04:41:29","00:04:45:13","Y luego llegas al final del mesy tu tarjeta estÃ¡ topada,","1"
"00:04:45:26","00:04:47:00","estÃ¡ en ceros","1"
"00:04:47:00","00:04:49:00","y no hay dÃ©bito con que pagarlo,porque el dÃ©bito tambiÃ©n","1"
"00:04:49:00","00:04:50:17","te lo gastastey tambiÃ©n el crÃ©dito.","1"
"00:04:50:17","00:04:51:22","Pero pues por ejemplo,","1"
"00:04:51:22","00:04:52:17","yo me he dado cuenta de que","1"
"00:04:52:17","00:04:55:17","muchos problemas de los que yotenÃ­a en mi cuestiÃ³n de gastos","1"
"00:04:55:17","00:04:59:14","era en mi otro anterior trabajoque estaba mÃ¡s presencial.","1"
"00:04:59:14","00:05:02:13","Se podrÃ­a decir que iba una veza la semana y cinco en casa.","1"
"00:05:02:17","00:05:04:03","Esa semana que lleva","1"
"00:05:04:03","00:05:05:24","como que el hechode salir a comprar comida","1"
"00:05:05:24","00:05:09:14","me servÃ­a para distraermedel trabajo en el que estaba","1"
"00:05:09:22","00:05:11:03","y era como que.","1"
"00:05:11:03","00:05:14:12","Como que un ganchoel salirme y distraerme.","1"
"00:05:14:26","00:05:16:12","Yo creo quemuchas personas lo pueden hacer","1"
"00:05:16:12","00:05:17:24","tambiÃ©n, o sea,el hecho de que simplemente","1"
"00:05:17:24","00:05:20:05","van al Oxxo para un refresco,unas papas","1"
"00:05:20:05","00:05:23:09","o unas galletas, un jugo o algoy el hecho de salir","1"
"00:05:23:09","00:05:26:01","como que ellos les dacomo que esa paz","1"
"00:05:26:01","00:05:29:18","momentÃ¡nea, placenteray ya regresan a su lugar,","1"
"00:05:29:21","00:05:32:09","porque realmentea veces vas a la oficina","1"
"00:05:32:09","00:05:34:10","para estar literalmenteen tu cubÃ­culo,","1"
"00:05:34:10","00:05:36:21","en tu lugary no la oportunidad de pararte.","1"
"00:05:36:21","00:05:39:03","Y a veces losque estÃ¡n de home office.","1"
"00:05:39:03","00:05:41:17","El tema esque no planificamos las comidas,","1"
"00:05:41:17","00:05:44:09","quÃ© vamos a estar comiendo,que esto, que aquello,","1"
"00:05:44:09","00:05:46:15","pero ahoritayo estoy con la nutriÃ³loga","1"
"00:05:46:15","00:05:49:15","y lo que hago es desde haceya muchos aÃ±os,","1"
"00:05:50:00","00:05:53:02","voy al abasto los sÃ¡badosy trato de una vez de comprar","1"
"00:05:53:02","00:05:56:07","todo lo necesario para mi planalimenticio de esa semana","1"
"00:05:56:08","00:05:59:08","y ya tener como todo preparado,obviamente aquÃ­ utilizado","1"
"00:05:59:21","00:06:03:01","cloud con su libro que me da cuenta que agarro su pdf","1"
"00:06:03:02","00:06:05:15","que me compartiÃ³de las porciones, equivalencias,","1"
"00:06:05:15","00:06:08:15","le paso que alimentosvoy a comprar y ya le digo,","1"
"00:06:08:19","00:06:10:00","de recetas, comidas, desayunos","1"
"00:06:10:00","00:06:11:09","y todo el rollopara estar tratando","1"
"00:06:11:09","00:06:13:23","de balancear mis alimentosdurante todo el dÃ­a","1"
"00:06:13:23","00:06:16:21","y que no se me vayantodas mis porciones de golpe.","1"
"00:06:16:21","00:06:18:09","Porque algoque me gusta mucho a mÃ­","1"
"00:06:18:09","00:06:20:04","es el cafÃ© con pan dulcey es algo muy difÃ­cil","1"
"00:06:20:04","00:06:21:17","de poder salir de ese vicio.","1"
"00:06:21:17","00:06:24:17","Y gracias a Diostengo pan dulce en mi dieta","1"
"00:06:24:17","00:06:28:08","y por ejemplo se me dabauna lana en la nutriciÃ³n.","1"
"00:06:28:08","00:06:31:10","Como que darte cuentaen dÃ³nde te estÃ¡ yendo","1"
"00:06:31:10","00:06:34:11","el dinero es demasiado relevantey yo sÃ© que sobreviven.","1"
"00:06:34:13","00:06:35:23","Ahoritaque dejÃ© de pagar la maestrÃ­a","1"
"00:06:35:23","00:06:38:25","como que guay,como que si respiro un poco","1"
"00:06:38:26","00:06:40:03","porque ya digo que","1"
"00:06:40:03","00:06:41:21","ya puedo empezara guardar esta quincena","1"
"00:06:41:21","00:06:43:09","para el pago del carro,para esto,","1"
"00:06:43:09","00:06:45:27","para aquello de las cosasque ya tenÃ­a","1"
"00:06:45:27","00:06:47:16","como de forma habitualde mis gastos,","1"
"00:06:47:16","00:06:49:06","porque a vercuÃ¡ntas suscripciones de ella","1"
"00:06:49:06","00:06:50:00","no estamos pagando.","1"
"00:06:50:00","00:06:51:10","Ahorita","1"
"00:06:51:10","00:06:52:27","estoy pagando cloudy estoy pagando","1"
"00:06:52:27","00:06:56:08","porque necesitamos seguirnoscapacitando","1"
"00:06:56:08","00:06:58:04","y aprendiendoy ver cÃ³mo se van desenvolviendo","1"
"00:06:58:04","00:07:00:02","para nuestra chamba,en nuestro dÃ­a a dÃ­a.","1"
"00:07:00:02","00:07:01:04","Algo que sÃ­ yo te puedo decir","1"
"00:07:01:04","00:07:03:29","es que me ha encantadocÃ³mo utilizar Cloud con.","1"
"00:07:03:29","00:07:05:15","Con open spec.","1"
"00:07:05:15","00:07:07:06","O sea, me ha gustado muchoesos temas,","1"
"00:07:07:06","00:07:09:03","se me ha hecho muy bueno,muy Ãºtil","1"
"00:07:09:03","00:07:12:24","y me la aplicaciÃ³nque estoy trabajando con Emilio","1"
"00:07:12:24","00:07:13:24","en Project.","1"
"00:07:13:24","00:07:15:16","El tema de los gimnasios","1"
"00:07:15:16","00:07:18:15","fue una chulada, trabajodemasiado rÃ¡pido, me aventÃ©","1"
"00:07:18:15","00:07:21:15","un mÃ³dulo grandeliteralmente en dos dÃ­as.","1"
"00:07:21:17","00:07:24:17","No, realmente nunca lleguÃ©a mi consumo total de tokens","1"
"00:07:24:27","00:07:25:18","de cloud","1"
"00:07:25:18","00:07:28:05","porque me ha estado haciendo esoen ese momento","1"
"00:07:28:05","00:07:31:05","y tambiÃ©n conmi agente de WhatsApp, con mis","1"
"00:07:31:10","00:07:33:13","con varias cosasy no lleguÃ© al tope.","1"
"00:07:33:13","00:07:34:02","Hoy sÃ­ lleguÃ©","1"
"00:07:34:02","00:07:35:11","porque comoque le metÃ­ mÃ¡s cosas","1"
"00:07:35:11","00:07:37:28","y como que en otro proyectono hay demasiados archivos.","1"
"00:07:37:28","00:07:42:08","Si consume demasiados tokens esetema del contexto, pero bueno.","1"
"00:07:42:12","00:07:44:03","Este medio un poco el tema.","1"
"00:07:44:03","00:07:46:06","Lo que si yo te puedo decires que","1"
"00:07:46:06","00:07:50:13","aprendas a invertir tu dineroaunque sean 100Â $ a la semana","1"
"00:07:50:15","00:07:54:00","o al mes y o a la quincena.","1"
"00:07:54:10","00:07:57:13","Y los empiezo a meternosen una cajita como de story","1"
"00:07:57:14","00:08:00:22","en un mercado pago patrocinadopara hablar de estas compaÃ±Ã­as.","1"
"00:08:00:23","00:08:02:25","Desgraciadamente o en GBM empecÃ©","1"
"00:08:02:25","00:08:05:04","a comprar accionesde alguna empresa que te guste.","1"
"00:08:05:04","00:08:06:26","Yo no irÃ© a la empresa,estoy comprando acciones,","1"
"00:08:06:26","00:08:09:04","pero aquÃ­hay una publicidad tal cual","1"
"00:08:09:04","00:08:11:05","y eso me ha ayudado mucho a mÃ­.","1"
"00:08:11:05","00:08:12:23","Crearme el hÃ¡bito del ahorro.","1"
"00:08:12:23","00:08:13:21","Como decÃ­a, este dinero","1"
"00:08:13:21","00:08:17:11","ya no lo tengo, ya desapareciÃ³,ya me lo gastÃ© y ya regresÃ³","1"
"00:08:17:23","00:08:20:10","de que el mes de irtea gastar el dinero","1"
"00:08:20:10","00:08:23:22","al antro de forma efÃ­merao a un bar, te conviene mÃ¡s","1"
"00:08:23:24","00:08:27:03","meterlo en accionese inversiones a largo plazo,","1"
"00:08:27:09","00:08:31:17","porque de forma placenterael antro y el bar te va a dar","1"
"00:08:31:17","00:08:34:00","una noche de diversiÃ³ny emociÃ³n,","1"
"00:08:34:00","00:08:36:10","pero las acciones a largo plazote van a dar","1"
"00:08:36:10","00:08:39:07","pues mÃ¡s paz mental, porquesabes que tienes un dinero","1"
"00:08:39:07","00:08:41:03","y esos pinches accionessiempre tienden a subir.","1"
"00:08:41:03","00:08:44:03","Es muy raro que una empresagrande, consolidada o un ETF","1"
"00:08:44:10","00:08:46:12","se vayan a la chingada,o como un antro","1"
"00:08:46:12","00:08:48:14","tal cual, que el dÃ­a de maÃ±ananomÃ¡s cierra, desaparece.","1"
"00:08:48:14","00:08:50:28","Ya te digo que deberÃ­amosdevaluar.","1"
"00:08:50:28","00:08:52:02","QuÃ© cosas se estÃ¡n gastando mÃ¡s","1"
"00:08:52:02","00:08:54:12","y cuales nos vanhaciendo sentir mejor.","1"
"00:08:54:12","00:08:55:20","Â¿Porque lo que me he dado","1"
"00:08:55:20","00:08:58:20","me he dado cuenta de lo que nosestÃ¡ afectando,","1"
"00:08:58:25","00:09:01:19","porque tambiÃ©n a lo que temencionÃ© hace rato","1"
"00:09:01:19","00:09:05:00","durante el episodio es con quÃ©contra quÃ© te estÃ¡s comparando?","1"
"00:09:05:17","00:09:08:17","Obviamentehay temas de LinkedIn,","1"
"00:09:08:28","00:09:12:12","la gente que gana en dÃ³lares,tÃº contra el tÃº de hace un aÃ±o","1"
"00:09:12:13","00:09:13:19","que todavÃ­ano te sientes satisfecho","1"
"00:09:13:19","00:09:15:22","y piensas que el dinerova a solucionar tus problemas.","1"
"00:09:15:22","00:09:16:15","Â¿Los diez Con quiÃ©n","1"
"00:09:16:15","00:09:17:28","te estabas comparando","1"
"00:09:17:28","00:09:20:26","en ese momento cuando aceptasteese aumento de sueldo?","1"
"00:09:20:26","00:09:21:22","A ver si te digo que a mÃ­","1"
"00:09:21:22","00:09:23:13","me gusta muchoel tema del minimalismo.","1"
"00:09:23:13","00:09:26:13","A mÃ­ mismome encanta todos esos temas y","1"
"00:09:26:17","00:09:27:24","hay personasles encanta tener dos,","1"
"00:09:27:24","00:09:29:08","tres monitores son mÃ¡s fan de","1"
"00:09:29:08","00:09:31:00","no mÃ¡s, de tener cerradoel monitor de la laptop.","1"
"00:09:31:00","00:09:32:26","NomÃ¡strabajando en mi monitor grande.","1"
"00:09:32:26","00:09:36:16","Hay otras personas que prefierenlos miles de monitores,","1"
"00:09:36:17","00:09:38:23","pero realmente eso sientoque no te hace productivo.","1"
"00:09:38:23","00:09:41:27","Y esto creo que es igualcon la vida de las finanzas,","1"
"00:09:41:27","00:09:43:07","que entre tantas cosasque tenemos","1"
"00:09:43:07","00:09:46:07","en nuestro dÃ­a a dÃ­anos vemos nublados, distraÃ­dos y","1"
"00:09:46:10","00:09:51:04","no le damos el tiempo necesariopara estarnos capacitando","1"
"00:09:51:04","00:09:53:06","para seguir aprendiendode todos estos temas.","1"
"00:09:53:06","00:09:55:26","Y algo que sÃ­yo te podrÃ­a decir.","1"
"00:09:55:26","00:09:58:16","Es que busques un site project,busques una idea.","1"
"00:09:58:16","00:09:59:23","La idea es esta,","1"
"00:09:59:23","00:10:01:04","yo creo quecontenido en YouTube,","1"
"00:10:01:04","00:10:01:26","pero YouTube","1"
"00:10:01:26","00:10:03:12","no ha sido la","1"
"00:10:03:12","00:10:06:27","gran representaciÃ³n de dineropara mÃ­ en mi dÃ­a a dÃ­a.","1"
"00:10:07:20","00:10:10:27","Cada dos o tres meseso cada mes promedio","1"
"00:10:10:28","00:10:13:28","puedo llegar a juntar el mÃ­nimopara que me lo depositen.","1"
"00:10:14:12","00:10:16:21","Tengo un canalque no ha funcionado,","1"
"00:10:16:21","00:10:18:15","a lo mejor tengo buena cantidad de","1"
"00:10:18:15","00:10:20:12","suscriptoressi tengo una comunidad fiel,","1"
"00:10:20:12","00:10:23:15","si tengo gente muy chidaque me deja comentarios,","1"
"00:10:23:16","00:10:26:23","me apoya, me aportao cuando han visto mi contenido","1"
"00:10:26:28","00:10:28:24","me han dicho oye,tus videos me han servido,","1"
"00:10:28:24","00:10:31:21","me apoyaron,esto, aquello que padre.","1"
"00:10:31:21","00:10:34:07","Sin embargo, tambiÃ©n estÃ¡este parte como el otro lado","1"
"00:10:34:07","00:10:35:29","de que le estÃ¡sinvirtiendo mucho tiempo,","1"
"00:10:35:29","00:10:38:02","pero a veces muy poco,lo que va a ir a armonizaciÃ³n","1"
"00:10:38:02","00:10:41:02","econÃ³mica, porque parecieraque mi contenido no llega.","1"
"00:10:41:02","00:10:42:00","Demasiadas personas","1"
"00:10:42:00","00:10:42:18","SÃ­, es cierto,","1"
"00:10:42:18","00:10:43:02","Tampoco yo","1"
"00:10:43:02","00:10:43:25","he sido la persona","1"
"00:10:43:25","00:10:45:15","mÃ¡s consistentey persistente a la","1"
"00:10:45:15","00:10:47:02","hora de estar creando contenido.","1"
"00:10:47:02","00:10:49:06","Hay muchas cosas que si empiezoy en muchos que no termino.","1"
"00:10:49:06","00:10:51:08","Creo que eso tambiÃ©ntiene que ver con mi enfoque","1"
"00:10:51:08","00:10:52:20","en lo que quiero haceren mi dÃ­a a dÃ­a.","1"
"00:10:52:20","00:10:55:25","Lo que tambiÃ©n me ha pasadoes que de repente querÃ­a","1"
"00:10:55:25","00:10:59:13","abarcar demasiadasÃ¡reas, proyectos, ideas y cosas","1"
"00:10:59:24","00:11:02:10","y no me daba el tiempode estar en todo.","1"
"00:11:02:10","00:11:03:26","Â¿QuÃ© voy con esto?","1"
"00:11:03:26","00:11:05:25","Durante un tiempoestaba queriendo.","1"
"00:11:05:25","00:11:07:04","Pues ahora sÃ­, no sÃ©.","1"
"00:11:07:04","00:11:09:22","Trabajo, maestrÃ­a,creaciÃ³n de contenido,","1"
"00:11:09:22","00:11:13:22","vida personal, vida atlÃ©ticay obviamente mentalmente","1"
"00:11:13:22","00:11:15:15","te agotasy no puede estar en todo.","1"
"00:11:15:15","00:11:15:26","Y a mÃ­","1"
"00:11:15:26","00:11:17:28","lo que se me hacÃ­ao se me hace mÃ¡s fÃ¡cil","1"
"00:11:17:28","00:11:20:28","soltar es la creaciÃ³nde contenido y creo que hoy","1"
"00:11:20:29","00:11:23:27","me he estado acomodandomejor para esta grabando","1"
"00:11:23:27","00:11:26:15","y ser mÃ¡s persistenteque eso tambiÃ©n.","1"
"00:11:26:15","00:11:28:12","Obviamentesi encuentra los tiempos","1"
"00:11:28:12","00:11:31:01","y todo tambiÃ©nte puedes ayudar en tus temas,","1"
"00:11:31:01","00:11:33:03","pues para no estarsiempre persiguiendo este cheque","1"
"00:11:33:03","00:11:35:17","que estamos hablandode todo el tiempo, porque.","1"
"00:11:35:17","00:11:36:24","Llega la quincena ya bastante,","1"
"00:11:36:24","00:11:38:01","ya estÃ¡ esperando a alguien","1"
"00:11:38:01","00:11:39:20","para que llegue a recuperarlo que ya te gastaste","1"
"00:11:39:20","00:11:40:13","y ese dinero que","1"
"00:11:40:13","00:11:43:13","quieres recuperarlo vas a recuperar genuinamente.","1"
"00:11:43:13","00:11:46:00","Lo que sÃ­ te puedo decires que trates de buscar","1"
"00:11:46:00","00:11:49:02","ingresos alternos o extrasque pudiera llegar a tener.","1"
"00:11:49:02","00:11:50:22","Siempre van a ser Ãºtiles","1"
"00:11:50:22","00:11:53:23","y trata de ver en donde lospuedes encontrar.","1"
"00:11:54:13","00:11:56:10","A vecespuedes tener otras habilidades","1"
"00:11:56:10","00:11:57:26","que no sea programarpara seguir desarrollando","1"
"00:11:57:26","00:11:59:29","software por las tardescuando sales de chambear podrÃ­a","1"
"00:11:59:29","00:12:03:17","ser tener una tienda de cafÃ©,podrÃ­a ser","1"
"00:12:03:24","00:12:07:02","apoyar al negocio familiar.","1"
"00:12:07:26","00:12:13:13","Este invertir tu tiempoo haciendo alguien mÃ¡s","1"
"00:12:14:00","00:12:17:00","por alguien,haciendo algo mÃ¡s por alguien,","1"
"00:12:17:06","00:12:18:05","es que haber muchas cosas","1"
"00:12:18:05","00:12:20:08","en las cuales puede ser buenoy que a lo mejor conozco,","1"
"00:12:20:08","00:12:23:05","pero tambiÃ©n soy de personasque por ejemplo se meten en Uber","1"
"00:12:23:05","00:12:25:01","y buscan un ingresorealmente extra.","1"
"00:12:25:01","00:12:29:15","O si tÃº estÃ¡s de home officey tÃº tienes ahora","1"
"00:12:29:15","00:12:31:14","sÃ­ eres dueÃ±oy estÃ¡s pagando una casa","1"
"00:12:31:14","00:12:32:15","y te sobran cuartos,","1"
"00:12:32:15","00:12:34:27","tu rentar tu 4.Âº a empleados,que vas","1"
"00:12:34:27","00:12:36:07","a un compaÃ±ero de trabajo,","1"
"00:12:36:07","00:12:38:25","una gran ideapara ayudar a pagar su hipoteca.","1"
"00:12:38:25","00:12:40:15","Â¿Y quÃ© mÃ¡s?","1"
"00:12:40:15","00:12:43:02","El no sÃ©,a lo mejor si vas a la oficina","1"
"00:12:43:02","00:12:45:11","y llevarte algo para vendercomo dulce de chocolates,","1"
"00:12:45:11","00:12:47:05","panes o algo que tambiÃ©n lo hizoque lo hacen.","1"
"00:12:47:05","00:12:49:02","Â¿Soy muchas alternativas,pero tambiÃ©n","1"
"00:12:49:02","00:12:51:11","la pregunta es lo que quieres?Dedicar el tiempo a eso.","1"
"00:12:51:11","00:12:52:11","A veces de tipo de ideas,","1"
"00:12:52:11","00:12:55:12","muchas de las vecesse han transformado y han sido","1"
"00:12:55:17","00:12:59:10","muy fructÃ­feraspara muchas personas.","1"
"00:12:59:14","00:13:02:00","Me tocaba ver que de repentesu emprendimiento","1"
"00:13:02:00","00:13:03:25","terminÃ³siendo un negocio muy grande,","1"
"00:13:03:25","00:13:06:08","con local y todo bienestablecido","1"
"00:13:06:08","00:13:09:02","y hay otrosque se quedaron en el intento","1"
"00:13:09:02","00:13:12:14","porque si requiere que le tengasatenciÃ³n y cariÃ±o,","1"
"00:13:12:14","00:13:17:09","porque pues el que tienetienda que la tienda y pues.","1"
"00:13:17:14","00:13:19:06","Lo que te voy a decires que tu prÃ³ximo aumento","1"
"00:13:19:06","00:13:22:06","de sueldo tampoco va a arreglaren lo que ya estÃ¡s metido,","1"
"00:13:22:15","00:13:25:20","ni ganando mÃ¡sni menos de lo que ya estÃ¡s,","1"
"00:13:25:22","00:13:27:19","porque no eres consciente","1"
"00:13:27:19","00:13:29:25","de lo que estÃ¡s haciendoen tu dÃ­a a dÃ­a.","1"
"00:13:29:25","00:13:31:19","Yo llevo un punto en el cualcuando yo iba a mi trabajo,","1"
"00:13:31:19","00:13:33:01","como dijeesta semana presencial,","1"
"00:13:33:01","00:13:35:09","yo era fan de ir por un cafÃ©diario, Starbucks","1"
"00:13:35:09","00:13:38:27","y aparte luego comprar comidauno o dos dÃ­as y no mames,","1"
"00:13:38:28","00:13:40:24","terminaba siendo chingo de lanaporque aparte tambiÃ©n","1"
"00:13:40:24","00:13:43:28","es gasolina esto y las cuentashicieron una buena lana","1"
"00:13:43:28","00:13:47:05","porque hay un cafÃ© promedioen un Starbucks te vale 100Â MXN","1"
"00:13:47:21","00:13:49:12","puro que fueran 500 varos","1"
"00:13:49:12","00:13:52:12","y si comprara dos dÃ­asa la comida mÃ­nimo eran 200Â $,","1"
"00:13:52:17","00:13:55:27","eran 500 900.000Â $ en esa semanaque se me iban","1"
"00:13:55:27","00:13:59:01","en pequeÃ±osmomentos placenteros.","1"
