Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (MXN),Thumbnail impressions,Thumbnail click-through rate (%)
36nI6QMgxMA,Claude pierde frente a Gemini,"May 7, 2026",62,1056,6.4057,5,0.727,271,1.48
ZjnDTTIuIks,Los tokens de las LLM'S se parece al cambio de las tortillas,"Mar 20, 2026",115,1044,3.6002,0,0.585,509,1.38
_GzSnZk8LHA,"No tengo Netflix, vamos a ver a claude code programar #claudecode","Mar 31, 2026",11,1018,1.2688,0,0.539,785,1.53
z1WaM4GP_Q8,065 - ¿Kotlin Multiplatform le gana a Flutter en 2025? KMP vs Flutter,"Apr 14, 2025",531,1011,53.1603,2,14.634,9030,6.94
5ErjvqshsJg,Entonces tengo que programar a mano 😔,"Feb 25, 2026",12,1008,1.1357,1,0.323,206,1.46
BIbb7tObLdI,¿Tu les hubieras regresado ese dinero? ¿Que hubieras hecho?,"Apr 27, 2026",105,948,8.1361,1,0.738,359,1.39
b0nKTVREHto,La garantía de Xiaomi tarda mucho,"Jul 9, 2026",93,922,6.2538,1,0.723,459,3.92
zPQnktjxgn0,Carnicero o taquero? Aún no me decido,"Feb 15, 2026",9,915,1.0218,0,0.337,146,2.05
TwG7LMqUcWk,"El que no mira el reloj al programar, no mira la factura de Claude al pagar","Sep 8, 2026",15,901,1.0226,2,,40,20
pGuODcYTHgs,Un título ya no vale en México,"May 30, 2026",49,871,2.4286,0,0.673,284,2.46
hO7M-kHt9Ms,Yo siempre espero que un video se haga viral,"Apr 29, 2026",29,867,2.1385,1,0.394,361,3.05
zCyDR4ZP68g,¿Se puede Flutter usando IA en español?,"May 9, 2026",58,862,2.8741,1,0.405,394,3.05
s8YFQeZ3Ojw,Lamine Yamal próximo campeón del mundial 2026,"Jan 8, 2026",90,853,5.0508,0,0.742,215,0.47
K2U_bTz8FIo,Tip #1 guarda tus nóminas de trabajo,"Mar 11, 2026",103,851,1.1687,0,0.084,229,2.18
VO548rxz51k,Como preparar un pajarete,"Jul 21, 2023",37,849,3.1477,0,1.254,2358,4.16
jMDltYjcLgE,Dejen sus ideas,"Jan 18, 2026",10,843,0.7636,0,0.135,166,1.81
awIIcWzdTkk,Si pero parece novia tóxica,"Jan 24, 2026",56,823,1.764,0,0.465,268,5.6
pHXyA4GVKho,De albañil a vibecoder,"Mar 22, 2026",87,795,3.5946,0,0.942,390,0.77
0nTBGcq6q6c,¿Cual es tu top 4 de AI's para programar? Los leo,"Aug 25, 2026",99,793,1.9021,3,0.525,143,4.2
t7rvCXmKoWg,El creador de alerta roja,"Mar 22, 2026",135,793,6.9555,0,1.175,657,1.22
feNKZt4d4WM,Que MacBook comprar para programar? #flutterapp #macbook #macbookpro,"Sep 24, 2024",54,790,5.4692,0,0.57,5704,3.84
huuLP6bAKZI,Ingeniería de agentes: Lo que deberías de aprender en 2026,"Feb 19, 2026",53,785,3.6575,6,0.497,531,3.39
g5EipYCyLmk,Google lanza Gemini como su propia aplicación para Mac 🤖 Tienes IA directamente en tu escritorio,"Apr 17, 2026",63,779,4.3516,0,0.487,1688,1.66
eoBlidE6ezA,005. Errores al aprender Flutter en 2026,"Sep 29, 2025",575,771,44.3035,14,18.56,6966,6.73
rciVfIBQV4k,❤️‍🩹,"Feb 20, 2026",10,741,0.7804,0,0.259,140,0
JEa7lMHhblo,El error de los desarrolladores latinos al hablar con gringos 🇲🇽🇺🇸 (Choque cultural),"Jul 25, 2026",54,732,3.8331,0,0.572,297,2.36
1xUxGBKMWDM,Publicar shorts no me genera vista ni ingresos,"Apr 30, 2026",44,684,1.4239,1,0.33,343,0.87
rt8euGcPaGk,El error de trabajar con música,"May 23, 2026",41,683,0.9694,1,0.283,154,0.65
EieaVf-eFVQ,Claude Code vs Copilot: ¿Cuál es la mejor AI para programar?,"May 4, 2026",1335,666,42.03,11,22.659,7471,4.4
yXPj5a0OoLw,Yo uso mal la IA para programar,"May 8, 2026",74,623,2.8957,6,0.336,216,1.39
zOdnu1QAmDs,Como pasar de godin a freelancer,"May 14, 2026",46,619,2.3179,3,0.339,172,2.33
kY95h3Wr-tM,¿Que libros leer de machine learning?,"Jan 11, 2026",44,596,0.4793,1,0.074,264,1.52
QxHJpoTVrSE,Ojalá quemar tokens también fueran calorías,"Mar 21, 2026",9,593,0.4159,0,0.126,420,2.14
mhzPYxoljW0,claude code sabe que eso es un prompt genérico Copear y pegar prompts es una pérdida de tiempo,"Apr 22, 2026",13,588,0.907,0,0.216,704,2.41
yUhr3cY0iLk,El tema es cuánto ahorras #reflexion,"Jan 28, 2026",72,579,2.3727,1,0.361,346,2.89
_trDPuTIM6w,El problema del Home Office en cafés,"May 24, 2026",49,531,1.204,0,0.314,202,2.97
itE5Qf0EH3E,Cuando usar flutter web? #flutterapp #flutterenespanol #flutterdeveloper,"Aug 28, 2023",28,531,2.4156,1,0.293,4331,5.03
IFBL8aVO2IU,Me arrepiento de programar tanto...,"Jan 18, 2026",43,523,0.9519,0,0.135,113,0.88
LgEQcIir6wE,¿Cómo empezar en machine learning desde 0?,"Jan 14, 2026",70,519,0.3901,1,0.046,196,0.51
V-_x5BDNadc,Yo pagaría Gemini en vez de claude y tú?,"Apr 3, 2026",149,512,4.8104,2,0.389,986,3.25
hYxP_uzXwt0,¿Cómo cotizar proyectos con IA en 2026?,"May 15, 2026",50,495,2.1712,0,0.245,577,3.99
u7AAz0Feghg,A LA BREVEDAD,"Apr 28, 2026",8,495,0.5868,0,0.068,243,1.65
QJRNUsOgwlY,NO Busques Inversión si no tienes ESTO (MVP),"Jan 14, 2026",13,482,0.8332,0,0.198,175,1.14
_hdY5d_nTOc,Serían yo?,"Jan 29, 2026",7,451,0.3658,0,0.25,228,1.32
IshTaQN7hto,Creando unicornios #flutterapp,"Jan 24, 2026",50,445,0.3688,0,0.05,197,1.52
ZdEOUm5m3Z4,La ÚNICA métrica que importa al Emprender 💸,"Jan 17, 2026",43,434,0.8962,1,0.076,98,1.02
-fiNawDZPuU,Según yo iba a ser bien productivo,"Jan 3, 2026",79,428,0.8093,0,0.092,553,0.9
0pZAOKz_94U,Con esto programo peor,"May 26, 2026",42,420,1.0726,0,0.282,416,0.48
hjHdHMjlkVU,"Cómo crear un chatbot en WhatsApp con LLM, Node.js y Firebase 🤖 | Proyecto paso a paso","Sep 22, 2025",616,400,12.3392,4,13.392,1509,16.37
eM8RWLmM_xw,Ahora si ya me dieron ganas de trabajar en Apple,"Apr 23, 2026",102,400,2.3561,0,0.35,376,0.8
YL_nAp4X-fY,Que significa GM?,"Apr 3, 2023",32,399,2.0255,0,0.4,1333,13.2
BHxRikBK2Ms,Entre un 10% y 20% bro,"Feb 5, 2026",77,393,1.0693,0,0.121,361,2.77
shvOKQ54E9c,¿Eres Emprendedor o solo un Revendedor? (La Verdad),"Jan 16, 2026",43,388,0.7452,0,0.091,65,0
-8WA-K2d0Rs,Usar AI y no leer es como manejar con los ojos tapados,"Feb 18, 2026",90,384,1.6862,0,0.167,354,3.11
arVB1QO66ik,Ya dejé de tomar cursos en línea,"May 28, 2026",38,384,0.6225,0,0.222,267,0
t5Bai0u2w2o,Automatice todo mi trabajo,"Feb 10, 2026",85,376,0.9219,0,0.114,403,1.99
sE0Y2hHYy8A,"¡Han sacado el Claude Code de DeepSeek!
Es de código abierto y está desarrollado con Rust

⭐ Usa API","May 6, 2026",16,365,0.5662,0,,0,
9KHoqPVE6qk,"Apple y Gemini, ¿Nuevo siri?","Jan 13, 2026",52,355,0.364,0,0.055,150,2
OT32bZuuo2M,GitHubcopilot app?,"May 15, 2026",60,343,1.2413,0,0.202,234,2.56
CnyDQyaLqN8,La Ai está corriendo a los juniors,"May 13, 2026",104,343,2.3371,0,0.293,196,0.51
DdiMnx3-pzA,Tratando de ser experto en inteligencia artificial,"Jan 21, 2026",70,339,2.3649,1,0.156,165,0.61
RbGOCvvC624,Claude code dice que NO #claudecode,"Mar 4, 2026",71,333,0.5701,0,0.071,251,2.39
eqT6Mw5s-II,La Diferencia entre Autoempleo y Negocio (Explicado),"Jan 19, 2026",43,327,0.4624,0,0.057,82,2.44
i0Zz3vvkt0E,El inglés si importa,"Jan 15, 2026",72,318,0.4145,0,0.052,169,1.78
_qbCnpzZ7qk,Flutter Unit testing en Español para principiantes,"Mar 18, 2024",583,310,17.9792,3,7.189,956,16.21
FPRvuA1hM6I,Los tokens del bienestar 🙅‍♂️🙅‍♂️,"Apr 24, 2026",11,309,0.2186,1,0.06,136,0.74
QDw3zLi6knE,Curso de Flutter en español ¿Como hacer un login?,"May 31, 2023",579,298,10.0599,1,5.84,1271,12.9
j82krHRGJcQ,Se LOGRÓ! Aprobaron mi app,"Dec 31, 2025",34,297,0.4485,0,0.055,200,1
QWEy1DJaI0c,Objetivos del 2026,"Jan 3, 2026",10,296,0.2893,0,0.065,91,0
bZHLHX161Ws,Hoy Argentina le gana a Inglaterra,"Jul 15, 2026",11,296,0.2392,0,0.082,57,3.51
T0_ACudYReY,Aprende otra cosa bro #programacion #datascience,"Jan 21, 2026",52,295,0.4461,0,0.04,173,2.31
QtDdGvCw1Us,"El Lado Oscuro de tener ""Éxito"" en Tech","Jan 22, 2026",43,293,0.6099,0,0.098,166,0.6
OkNUtSRv-8w,"Es por aprender más, según yo","Jan 22, 2026",85,292,0.4807,0,0.04,267,3
GI36nsjvwss,¿Cómo Implementar Google Maps en Flutter en Español?,"Aug 24, 2021",701,289,11.8734,1,10.44,1970,9.29
u0P5txCDpec,El dinero es tu única motivación! Quiero una casa,"May 20, 2026",69,280,0.7958,0,0.22,250,0
ovuDYVxr4og,El desarrollador solitario vs. La agencia,"May 16, 2026",58,279,0.9444,0,0.142,148,0.68
KSqS6HNi9XQ,No tengo tiempo para resolver los bigs que yo genero,"Apr 24, 2026",13,277,0.1577,0,0.028,158,0.63
1Qa2kI5kCww,Cuánto cobrar por tu side project (nos equivocamos con el precio),"Aug 31, 2026",855,277,4.9111,0,1.269,2582,2.09
QGnzYgkFnRI,YouTube me mandó una SUDADERA,"Aug 6, 2026",70,267,0.7201,0,0.064,222,2.25
uZJnNhyvRxM,Real hasta la muerte ❤️,"Apr 22, 2026",16,262,0.2596,0,0.078,0,
CZ7hOd-cS0E,⚠️ NO Renuncies a tu Empleo en 2026 (Haz esto antes),"Jan 20, 2026",43,260,0.524,0,0.053,129,3.1
Ihp6Imn-G88,Sirve para tomar notas #ipadpro,"Jan 28, 2026",54,260,0.46,0,0.039,220,1.82
soc0P9cvp9o,5 Ideas de Side Projects para Pagar la Renta 💻💸,"May 19, 2026",822,256,16.6233,6,12.431,1774,6.65
QxMrE2jQNKg,Si sabes?,"Sep 1, 2026",65,254,0.5411,0,0.076,87,0
rOzRuAi_KXk,¿Qué habilidades están pidiendo más las empresas a los devs en 2026? | Conseguir Chamba Dev,"Sep 5, 2026",76,252,0.8581,1,0.112,145,0
UMmoDWpcurk,Openclaw ¿El primer JARVIS real? #openclaw,"Feb 10, 2026",93,251,1.2669,0,0.134,1235,1.7
oUItBCpmCHA,Por qué sigo tomando notas en papel en plena era de la IA,"Jan 20, 2026",39,250,0.3427,0,0.033,78,2.56
RobwSHvT9gg,¿Que estás aprendiendo tú? En este 2026,"Jan 16, 2026",8,249,0.1606,0,0.018,82,2.44
fsDZ_qn0lYo,"NoteBookLLM, la mejora herramienta para estudiar #notebooklm","Feb 24, 2026",71,248,1.0454,0,0.137,490,2.86
VbSvaWaeAVE,Vibe coding and coffee,"Feb 27, 2026",9,247,0.1438,0,0.021,139,2.16
TvVYuIRpwK0,Mac mini m6 lo nuevo de apple,"Aug 25, 2026",15,243,0.2317,0,0.109,816,0.86
gG6UB0eRhJo,Apps favoritas de una fisioterapeuta,"Apr 5, 2024",37,234,1.3136,0,0.129,1969,5.79
RpdworVwW7I,"He empezado un segundo cerebro con claude code y git y puro markdown, quieren que haga un fork del r","Jul 9, 2026",16,233,0.1917,0,0.011,0,
fF3aBGrJEro,Deja de perder el contexto,"Apr 16, 2026",76,230,0.8091,0,0.122,412,1.21
8r4FirD0mPE,"💻 No es solo escribir código… es pensar en personas

Muchas veces se cree que desarrollar software e","Apr 27, 2026",16,223,0.2418,0,0.059,0,
HOqHtW0okzk,La app financiera que necesitas crear 🤔,"May 22, 2026",66,222,0.6687,0,0.1,191,2.62
RRPsIzAh4PE,USA firbebase distribution para subir tu APP,"Jan 7, 2026",49,216,0.367,0,0.029,203,1.97
EzCOdaWXKuo,@mouredev  en Talent Land 2025 opinando de flutter,"Apr 25, 2025",34,213,0.913,0,0.163,1410,6.03
8gZwfXgsDUI,"La mentira de ""Ser tu propio jefe"" en Desarrollo de Software","Jan 14, 2026",909,212,13.823,2,6.337,4156,2.96
ifWFY-HWiHs,Amo Flutter… pero este año voy a aprender Swift 🦉 (Y esta es la razón) #swift,"Jul 23, 2026",53,212,0.3753,2,0.071,253,3.95
jOOBKNJp34o,¿Qué elegir Firebase o Supabase para Flutter?,"Jul 22, 2024",765,211,17.6205,2,6.871,2588,4.33
zNwzt9pw61U,Se viene iOS 27 📱,"Mar 24, 2026",63,210,0.2893,0,0.034,409,0.49
oZ5f3e53GlY,Emprender en Software: Las Nuevas Reglas 2026 🤖,"Jan 23, 2026",43,207,0.248,0,0.036,273,0.37
Qgaq6rpWVDw,La verdadera razón por la que no me rindo,"May 31, 2026",42,205,0.2399,0,0.056,236,4.66
iY8EBCCNtVA,Yo así,"Apr 25, 2026",15,200,0.2557,0,0.093,0,
cEVfsTsLkO0,Cuál elegir react native vs flutter en 2026?,"Jul 21, 2026",57,195,2.2052,0,0.117,516,2.52
CfuetGlSBBk,El equipo de Flutter & Dart acaba de lanzar habilidades oficiales de agente para desarrolladores de,"May 7, 2026",16,194,0.1303,0,,0,
gG14aUNivbg,Por qué los libros técnicos te darán la ventaja competitiva,"Jan 14, 2026",31,190,0.183,0,0.035,89,3.37
MTQan6-7Gf0,Esta habilidad paga más que cualquier curso de 40 horas,"Jan 11, 2026",21,187,0.1719,0,0.025,923,0.65
wMvNxSPPR6o,Ya estoy haciendo la tesis de mi maestría de inteligencia artificial,"Jul 14, 2026",141,187,1.1238,1,0.123,192,2.6
ruVA5YhY3lo,¿Qué es mejor Visual Code o Android Studio para Programar en Flutter?,"Jun 8, 2021",610,182,10.4394,0,5.091,1187,8.34
HYunk6CEs1A,¿Cual es mi rol frente a la AI?,"Jan 7, 2026",37,175,0.2407,0,0.027,112,0.89
utLuERWcdVQ,¿Cómo subir un proyecto a GitHub de flutter? Curso de Flutter en español,"Mar 13, 2024",584,175,9.2448,0,4.444,774,10.72
JL6MMY9Z688,Por qué los cursos de programación te están mintiendo,"Jan 9, 2026",26,174,0.1767,0,0.019,252,0.79
JInJ-yKqCzI,Acepté un trabajo de programador que no quería,"Sep 7, 2026",115,174,1.3491,0,0.103,183,8.74
iwiCe1zs94Y,"Open claw 2, novedades en español","Sep 1, 2026",67,172,1.2174,0,0.105,676,6.36
aLgctgD8_wk,Aveces claude code hace que me arrepienta ,"May 25, 2026",866,167,8.3511,1,4.401,3112,2.99
v_BC4T2TMtw,Nadie piensa en el micro feature,"Mar 3, 2026",85,159,0.4275,0,0.076,215,0.93
ulYe-J5WGUM,Flutter ¿Cómo Hacer Un Menú Lateral? || Eliecer Coding,"Nov 4, 2020",903,159,7.732,1,2.799,831,10.83
umAMwAEKGqI,Setting Up mi Macbook Pro m4 para programar,"Dec 31, 2024",322,158,4.9118,3,5.16,888,8.56
39wkshiL4wI,La carrera de la rata del programador moderno,"Nov 17, 2025",978,156,13.174,7,4.358,3220,3.17
Iari8eB8EfQ,Automaticé todo el RSVP de mi boda con IA (y no sé cómo venderlo),"Sep 8, 2026",137,154,0.3239,,,33,6.06
Cm0YAPX33Lw,El lugar más raro para conseguir clientes,"May 17, 2026",65,153,0.618,0,0.086,127,0.79
a3_nmpIZ9rA,El secreto para ganar dinero como freelance #claudecode,"Apr 23, 2026",26,153,0.1659,0,0.044,341,1.17
Gsm29EUJG7U,Como Aprendí Flutter Tan Rapido || Eliecer Coding,"Jul 7, 2020",521,152,6.6112,2,2.23,1545,5.11
7cJGgv_NfV0,La diferencia REAL entre un Senior y un Junior,"Jan 11, 2026",18,151,0.1211,0,0.029,137,1.46
lYgS9yhF4do,El peligro de aprender con videos desactualizados,"Jan 16, 2026",46,150,0.1363,0,0.024,103,0.97
fT0I64QMrPU,003- Cómo ganar dinero con Flutter en 2025,"Sep 8, 2025",943,144,10.3945,1,6.949,1473,6.31
M74eEORwto8,"Flutter entrevista técnica, Consejos para si pasarla","Apr 23, 2024",323,143,5.4019,2,3.157,665,13.38
i00przHHFyk,"Charros de Jalisco, nuevos uniformes","Oct 14, 2025",7,142,0.2005,0,0.109,930,2.69
Vgy2RNmc9Hg,Coffee night,"Jan 27, 2026",1145,138,1.4467,1,0.208,1553,0.64
I97O_L9v_EI,El error de aprender programación como si fuera 2010,"Jan 10, 2026",29,137,0.1063,0,0.015,219,0.46
p9Yh9fKPEY8,Consejos para entrevistas técnicas de científico de datos,"Jan 14, 2026",54,134,0.3304,0,0.055,234,0.43
WwDL5ucyY0M,No sabia que maestria elegir y me espere 4 años para saber que era de AI,"Aug 13, 2026",95,130,0.8975,1,0.083,188,3.72
Huf0c47ePl4,El peligro de aprender con videos desactualizados,"Jan 15, 2026",41,128,0.0928,0,0.012,86,1.16
8p03zk3W_ao,Como logro eficientar copilot?,"Mar 3, 2026",93,128,0.1582,0,0.022,214,0.47
0HaGTQ_2kCg,Flutter en Español ¿Cómo Hacer un Login? Parte 2,"Mar 3, 2021",1101,125,6.1513,1,0.927,1848,4.22
xtWfnVoLO4o,Yo tenía la ilusión de vivir de YouTube,"Apr 28, 2026",1055,125,9.4977,1,4.503,1937,4.03
sI2QigJ_OYA,GUÍA RÁPIDA: ¿Python o Node para tu proyecto de IA? ⚡🐍,"Nov 17, 2025",22,120,0.3603,1,0.061,1886,1.33
5kCh6IYfFoo,Cómo dejé de ser un Albañil del Código,"May 12, 2026",998,117,9.2855,-1,4.171,1924,3.48
d0vuanxO8Bw,¿Cómo debuggear Flutter en visual studio? (En español),"Mar 22, 2022",1034,116,4.5612,0,3.002,699,8.44
jNkA4zBGUx4,002 - Flutter 4.0: ¿El futuro del desarrollo multiplataforma?,"Sep 1, 2025",1001,113,10.1489,1,2.675,1125,6.04
JPbP8KSdFgg,¿Cómo aprender a programar en 2026?,"Jan 7, 2026",969,111,7.2592,1,1.562,5245,1.14
CvmeWiLnMcc,Toca cantar a todo pulmón,"Feb 27, 2026",17,108,0.1407,0,0.045,174,1.72
txWNPqqw-t0,"La trampa de la ""prioridad"" en el desarrollo de software","Jan 13, 2026",38,104,0.1015,0,0.016,89,0
KJGsC5oVvLE,Cómo avisar que vas retrasado sin sonar a excusa | Sobrevivir la Chamba Gringa #4,"Aug 15, 2026",72,103,0.4745,0,0.071,83,3.61
XGS8JeTmTuk,Revisen si está reguladoooo,"Feb 5, 2026",50,103,0.1398,0,0.029,216,1.85
zZVIby7A67A,Cursos vs. Documentación: El debate de la educación tech,"Jan 17, 2026",27,103,0.0899,0,0.017,241,0.83
k14tU01E1LU,¿Cómo correr un proyecto viejo de flutter en Xcode 15?,"Oct 23, 2023",55,102,0.6684,0,0.088,2405,1.21
07nkERj2Pus,La habilidad de comprensión lectora: El cuello de botella de los programadores,"Jan 21, 2026",47,102,0.1255,0,0.013,83,2.41
VwzFzKHEJz8,Como conectar django con Flutter en español,"Nov 16, 2021",331,101,3.9286,0,1.192,466,14.81
n_WAKCo2H3o,Pero en mi teléfono funciona...,"Feb 16, 2026",524,100,5.155,4,1.283,2138,1.96
l1hf7o-kCGY,Flutter en Español ¿Cómo agregar una fuente de letra a mi app?,"Mar 10, 2021",405,98,3.6255,1,1.856,1471,3.33
QYkq_J1ohtg,Cómo organizo mi Maestría en IA con Obsidian y Notion,"Jan 18, 2026",24,98,0.0932,0,0.026,219,0.91
nQVMvW3P6L8,"Confundido por cuál IA usar para programar? 🤔 ¡Te lo desglosamos!
Desliza para ver la comparativa de","Apr 13, 2026",16,98,0.0879,0,0.016,0,
8TNBVH-hMqU,Estoy en la maestría y no sé si te la recomendaría,"Jul 27, 2026",84,97,0.6428,0,0.074,148,0
iV_eJlCiNd8,Teams ringtone gives me nightmares...,"Sep 26, 2025",6,93,0.1025,0,0.075,300,4.33
9I1KFOvFhv0,Sobrevivir la Chamba Gringa #3: Cómo NO alargar tu daily,"Aug 3, 2026",59,93,0.4158,0,0.029,80,3.75
thsuw0n7Lgo,Flutter Como Hacer un Login Basico Eliecer Coding,"Oct 6, 2020",1146,93,3.4209,0,23.605,509,5.89
-20IblfTaxQ,039. Lo tóxico de ser programador,"Feb 12, 2024",1186,91,5.37,0,0.089,166,3.61
fErnv5K2Fyw,Aquí con todo el ritmo,"Feb 9, 2023",17,90,0.1133,0,0.037,71,0
v1bUFODahls,¿Qué es Flutter?,"Sep 21, 2021",55,84,0.373,0,0.045,630,3.17
spwE6ZTDmag,¿Aplicar directo a la empresa o escribirle al recruiter en LinkedIn? | Conseguir Chamba Dev,"Sep 1, 2026",72,83,0.3984,1,0.076,68,4.41
7Yln-4QhMws,Tu Modelo de IA en Python NO SIRVE de NADA (sin esto) 🤯,"Nov 12, 2025",32,83,0.2764,0,0.033,1602,1.06
PoCU6L0nYwU,¿Qué proyectos poner en tu portafolio de programador para destacar? | Conseguir Chamba Dev,"Aug 28, 2026",65,81,0.4379,0,0.049,433,1.39
EV3vF-gGZi4,Flutter los fines pero typescript paga el cafe,"Aug 19, 2026",81,79,0.5418,0,0.066,236,3.39
pKYPjHOJ-zU,Necesito más tokens para seguir con su siguiente Uber,"Aug 29, 2026",16,78,0.0501,0,0.003,0,
P01KUZHU2Og,¿Cómo usar el comando Flutter doctor?,"Sep 21, 2021",223,77,1.4262,0,2.871,188,16.49
WeGUUmsH8ww,¿Cómo usar material 3 en Flutter en español? #programmer #flutter,"Jan 26, 2023",6,77,0.0762,1,0.018,889,1.12
_ItCaCo-0Ko,¿Cómo trabajar en meta de AI engineer?,"Jul 21, 2025",1054,74,2.4279,0,1.088,1517,2.24
TWt8z4l1Vmk,Explica el árbol de widgets y el árbol de elementos en Flutter  #flutterdeveloper  no. 7,"Sep 28, 2023",38,73,0.6051,0,0.043,636,5.82
2JRp0zMX2Kc,Probe open spec en un side project,"Sep 7, 2026",77,73,0.3368,0,0.02,107,1.87
G2OX3Y05mAc,No puedo dejar de usar Mi Macbook,"Jun 8, 2026",597,72,3.0679,0,0.444,2483,1.69
4JbKJVM37yo,Cómo saber si una vacante de programador vale la pena (y cuándo huir) | Conseguir Chamba Dev,"Sep 3, 2026",55,69,0.3133,0,0.043,109,0
9ivBk2tBfns,¿Cómo se maneja la navegación entre pantallas en Flutter?  #flutterdeveloper #flutterenespanol no.11,"Oct 4, 2023",23,68,0.3071,0,0.031,581,2.93
1A3JxyPrbkM,No me gusta ir presencial al trabajo ,"Jul 13, 2026",443,66,2.3322,0,1.08,1554,3.09
w1GQjAVNfjo,Que es Flutter? pregunta no.1,"Sep 20, 2023",28,64,0.1935,0,0.03,373,3.75
93rSEtN5tLs,¿Qué es Clean Architecture en Flutter?,"Apr 7, 2025",373,64,2.8352,0,1.882,724,5.66
4b4nbk7HaKo,Programar y entrenar para un medio maratón al mismo tiempo,"Sep 9, 2026",105,63,0.1211,,,26,7.69
0-rdKAgqIJ0,"Resolví un bug corriendo, no en la computadora","Aug 17, 2026",93,62,0.3578,0,0.058,117,1.71
