Date,Content,Video title,Video publish time,Duration,Views
2026-07-15,9pCU28Xt8z8,Guadalajara en días nublados tiene un no sé qué que me encanta.,"Jul 20, 2026",21,0
2026-07-16,9pCU28Xt8z8,Guadalajara en días nublados tiene un no sé qué que me encanta.,"Jul 20, 2026",21,0
2026-07-17,9pCU28Xt8z8,Guadalajara en días nublados tiene un no sé qué que me encanta.,"Jul 20, 2026",21,0
2026-07-18,9pCU28Xt8z8,Guadalajara en días nublados tiene un no sé qué que me encanta.,"Jul 20, 2026",21,0
2026-07-19,9pCU28Xt8z8,Guadalajara en días nublados tiene un no sé qué que me encanta.,"Jul 20, 2026",21,0
2026-07-20,9pCU28Xt8z8,Guadalajara en días nublados tiene un no sé qué que me encanta.,"Jul 20, 2026",21,1702
2026-07-21,9pCU28Xt8z8,Guadalajara en días nublados tiene un no sé qué que me encanta.,"Jul 20, 2026",21,7
2026-06-24,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,0
2026-06-25,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,0
2026-06-26,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,1294
2026-06-27,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,268
2026-06-28,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,89
2026-06-29,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,8
2026-06-30,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,18
2026-07-01,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,15
2026-07-02,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,15
2026-07-03,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,5
2026-07-04,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,7
2026-07-05,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,14
2026-07-06,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,15
2026-07-07,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,21
2026-07-08,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,16
2026-07-09,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,10
2026-07-10,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,4
2026-07-11,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,2
2026-07-12,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,3
2026-07-13,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,5
2026-07-14,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,6
2026-07-15,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,17
2026-07-16,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,14
2026-07-17,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,15
2026-07-18,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,13
2026-07-19,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,7
2026-07-20,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,9
2026-07-21,MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,11
2026-06-24,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-06-25,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,4421
2026-06-26,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,1631
2026-06-27,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,292
2026-06-28,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,240
2026-06-29,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,46
2026-06-30,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-01,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,2
2026-07-02,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,3
2026-07-03,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-04,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-05,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-06,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-07,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-08,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-09,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-10,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-11,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-12,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-13,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-14,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,2
2026-07-15,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-16,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-17,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-18,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,2
2026-07-19,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-20,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-07-21,NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,0
2026-06-24,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-06-25,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-06-26,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-06-27,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-06-28,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-06-29,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-06-30,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,1073
2026-07-01,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,637
2026-07-02,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,134
2026-07-03,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,48
2026-07-04,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,42
2026-07-05,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,2
2026-07-06,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-07-07,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-07-08,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-07-09,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-07-10,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-07-11,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-07-12,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-07-13,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-07-14,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,1
2026-07-15,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-07-16,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-07-17,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-07-18,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,16
2026-07-19,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,20
2026-07-20,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,5
2026-07-21,RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,0
2026-06-24,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-06-25,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-06-26,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-06-27,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-06-28,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-06-29,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-06-30,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,1094
2026-07-01,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,744
2026-07-02,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,262
2026-07-03,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,127
2026-07-04,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,64
2026-07-05,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-07-06,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,1
2026-07-07,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-07-08,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-07-09,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,2
2026-07-10,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-07-11,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-07-12,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-07-13,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-07-14,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,1
2026-07-15,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,1
2026-07-16,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-07-17,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-07-18,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,1
2026-07-19,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-07-20,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
2026-07-21,ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,0
